"VAR","Variable","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FELL_TOT","Fellings","AUS","Australia","1990","1990","M3","Cubic metres","3","Thousands",,,17564,,
"FELL_TOT","Fellings","AUS","Australia","1995","1995","M3","Cubic metres","3","Thousands",,,19560,,
"FELL_TOT","Fellings","AUS","Australia","2000","2000","M3","Cubic metres","3","Thousands",,,24407.727,,
"FELL_TOT","Fellings","AUS","Australia","2001","2001","M3","Cubic metres","3","Thousands",,,24474,,
"FELL_TOT","Fellings","AUS","Australia","2002","2002","M3","Cubic metres","3","Thousands",,,24296,,
"FELL_TOT","Fellings","AUS","Australia","2003","2003","M3","Cubic metres","3","Thousands",,,25819,,
"FELL_TOT","Fellings","AUS","Australia","2004","2004","M3","Cubic metres","3","Thousands",,,26498,,
"FELL_TOT","Fellings","AUS","Australia","2005","2005","M3","Cubic metres","3","Thousands",,,26998.358,,
"FELL_TOT","Fellings","AUS","Australia","2006","2006","M3","Cubic metres","3","Thousands",,,26734.156,,
"FELL_TOT","Fellings","AUS","Australia","2007","2007","M3","Cubic metres","3","Thousands",,,27192.006,,
"FELL_TOT","Fellings","AUS","Australia","2008","2008","M3","Cubic metres","3","Thousands",,,28367.758,,
"FELL_TOT","Fellings","AUS","Australia","2009","2009","M3","Cubic metres","3","Thousands",,,25798.803,,
"FELL_TOT","Fellings","AUS","Australia","2010","2010","M3","Cubic metres","3","Thousands",,,25563,,
"FELL_TOT","Fellings","AUS","Australia","2011","2011","M3","Cubic metres","3","Thousands",,,26532,,
"FELL_TOT","Fellings","AUS","Australia","2012","2012","M3","Cubic metres","3","Thousands",,,23497,,
"FELL_TOT","Fellings","AUS","Australia","2013","2013","M3","Cubic metres","3","Thousands",,,22580,,
"FELL_TOT","Fellings","AUS","Australia","2014","2014","M3","Cubic metres","3","Thousands",,,25266,,
"FELL_TOT","Fellings","AUS","Australia","2015","2015","M3","Cubic metres","3","Thousands",,,27290,,
"FELL_TOT","Fellings","AUS","Australia","2016","2016","M3","Cubic metres","3","Thousands",,,30083.02,,
"FELL_TOT","Fellings","AUS","Australia","2017","2017","M3","Cubic metres","3","Thousands",,,33206.18,,
"FELL_TOT","Fellings","AUS","Australia","2018","2018","M3","Cubic metres","3","Thousands",,,32939.3,,
"FELL_TOT","Fellings","AUS","Australia","2019","2019","M3","Cubic metres","3","Thousands",,,32599.47,,
"FELL_TOT","Fellings","AUS","Australia","2020","2020","M3","Cubic metres","3","Thousands",,,29481.11,,
"FELL_TOT","Fellings","AUS","Australia","2021","2021","M3","Cubic metres","3","Thousands",,,27097.154,,
"FELL_TOT","Fellings","AUT","Austria","1991","1991","M3","Cubic metres","3","Thousands",,,17326,,
"FELL_TOT","Fellings","AUT","Austria","1997","1997","M3","Cubic metres","3","Thousands",,,16986,,
"FELL_TOT","Fellings","AUT","Austria","2005","2005","M3","Cubic metres","3","Thousands",,,22942,,
"FELL_TOT","Fellings","AUT","Austria","2013","2013","M3","Cubic metres","3","Thousands",,,23222,,
"FELL_TOT","Fellings","BEL","Belgium","1990","1990","M3","Cubic metres","3","Thousands",,,4400,,
"FELL_TOT","Fellings","BEL","Belgium","1995","1995","M3","Cubic metres","3","Thousands",,,4400,,
"FELL_TOT","Fellings","BEL","Belgium","2000","2000","M3","Cubic metres","3","Thousands",,,3457,,
"FELL_TOT","Fellings","BEL","Belgium","2005","2005","M3","Cubic metres","3","Thousands",,,4389,,
"FELL_TOT","Fellings","BEL","Belgium","2010","2010","M3","Cubic metres","3","Thousands",,,5230.195,,
"FELL_TOT","Fellings","BEL","Belgium","2012","2012","M3","Cubic metres","3","Thousands",,,5057.122,,
"FELL_TOT","Fellings","CAN","Canada","1990","1990","M3","Cubic metres","3","Thousands",,,162567,,
"FELL_TOT","Fellings","CAN","Canada","1991","1991","M3","Cubic metres","3","Thousands",,,160880,,
